2023-08-06 23:13:52.006 | INFO     | __main__:wrapper:44 - 	✓
2023-08-07 10:08:57.856 | INFO     | __main__:wrapper:42 - Перемещаем оригиналы фотографий в корзину
2023-08-07 10:08:57.856 | INFO     | __main__:wrapper:44 - 	✓
2023-08-07 10:08:57.865 | INFO     | __main__:wrapper:42 - Перемещаем оригиналы фотографий в корзину
2023-08-07 10:08:57.865 | INFO     | __main__:wrapper:44 - 	✓
2023-08-07 10:08:57.865 | INFO     | __main__:wrapper:42 - Перемещаем фотографии с cd-карты камеры в папку Client
2023-08-07 10:08:59.226 | INFO     | __main__:wrapper:44 - 	✓
2023-08-07 10:08:59.226 | INFO     | __main__:wrapper:42 - Удаляем фон с изображений
2023-08-07 10:09:09.884 | INFO     | __main__:wrapper:44 - 	✓
2023-08-07 10:09:09.885 | INFO     | __main__:wrapper:42 - Увеличиваем резкость
2023-08-07 10:09:09.887 | INFO     | __main__:wrapper:44 - 	✓
2023-08-07 10:09:09.889 | INFO     | __main__:wrapper:42 - Переименовываем оригиналы
2023-08-07 10:09:09.891 | INFO     | __main__:wrapper:44 - 	✓
2023-08-07 10:33:27.622 | INFO     | __main__:wrapper:42 - Перемещаем оригиналы фотографий в корзину
2023-08-07 10:33:27.680 | INFO     | __main__:wrapper:44 - 	✓
2023-08-07 10:33:27.681 | INFO     | __main__:wrapper:42 - Перемещаем оригиналы фотографий в корзину
2023-08-07 10:33:27.712 | INFO     | __main__:wrapper:44 - 	✓
2023-08-07 10:33:27.713 | INFO     | __main__:wrapper:42 - Перемещаем фотографии с cd-карты камеры в папку Client
2023-08-07 10:33:28.410 | INFO     | __main__:wrapper:44 - 	✓
2023-08-07 10:33:28.411 | INFO     | __main__:wrapper:42 - Удаляем фон с изображений
2023-08-07 10:33:31.770 | INFO     | __main__:wrapper:44 - 	✓
2023-08-07 10:33:31.771 | INFO     | __main__:wrapper:42 - Увеличиваем резкость
2023-08-07 10:33:31.772 | INFO     | __main__:wrapper:44 - 	✓
2023-08-07 10:33:31.773 | INFO     | __main__:wrapper:42 - Переименовываем оригиналы
2023-08-07 10:33:31.774 | INFO     | __main__:wrapper:44 - 	✓
2023-08-07 10:40:02.473 | INFO     | __main__:wrapper:42 - Перемещаем оригиналы фотографий в корзину
2023-08-07 10:40:02.557 | INFO     | __main__:wrapper:44 - 	✓
2023-08-07 10:40:02.563 | INFO     | __main__:wrapper:42 - Перемещаем оригиналы фотографий в корзину
2023-08-07 10:40:02.664 | INFO     | __main__:wrapper:44 - 	✓
2023-08-07 10:40:02.666 | INFO     | __main__:wrapper:42 - Перемещаем фотографии с cd-карты камеры в папку Client
2023-08-07 10:40:03.337 | INFO     | __main__:wrapper:44 - 	✓
2023-08-07 10:40:03.337 | INFO     | __main__:wrapper:42 - Удаляем фон с изображений
2023-08-07 10:40:06.773 | INFO     | __main__:wrapper:44 - 	✓
2023-08-07 10:40:06.773 | INFO     | __main__:wrapper:42 - Увеличиваем резкость
2023-08-07 10:40:06.789 | INFO     | __main__:wrapper:44 - 	✓
2023-08-07 10:40:06.789 | INFO     | __main__:wrapper:42 - Переименовываем оригиналы
2023-08-07 10:40:06.789 | INFO     | __main__:wrapper:44 - 	✓
2023-08-07 10:50:35.786 | INFO     | __main__:wrapper:42 - Перемещаем оригиналы фотографий в корзину
